,0,1,2,3,4,5,6,7,8,9
2019-09-30,BLDR,ZBRA,KEY,ENPH,ODFL,RL,IR,URI,ORLY,HBAN
2019-10-31,ENPH,BLDR,ZBRA,ODFL,KEY,IR,HBAN,WBA,RF,CAH
2019-11-29,ENPH,BLDR,HAS,TFC,KEY,HBAN,WBA,ODFL,CINF,IR
2019-12-31,ENPH,HAS,ODFL,BLDR,ZBRA,HBAN,TFC,PFG,NTRS,FAST
2020-01-31,ENPH,BLDR,HAS,ODFL,URI,FAST,CMG,ZBRA,HBAN,NTRS
2020-02-28,ENPH,BLDR,HAS,URI,AIZ,LULU,RCL,PFG,CZR,AOS
2020-03-31,DRI,NCLH,SPG,CZR,ON,ENPH,HIG,RCL,UAL,DFS
2020-04-30,CZR,NCLH,DRI,ENPH,SPG,DFS,MHK,RCL,UAL,ULTA
2020-05-29,ENPH,CZR,DRI,NCLH,MHK,DFS,UAL,SPG,ULTA,RCL
2020-06-30,ENPH,CZR,DRI,MHK,LKQ,PHM,DFS,BLDR,URI,ULTA
2020-07-31,ENPH,BLDR,DFS,CZR,DRI,MHK,LKQ,URI,PHM,NXPI
2020-08-31,ENPH,BLDR,DFS,DRI,ON,ULTA,MHK,UAL,LKQ,PHM
2020-09-30,BLDR,ENPH,ON,LKQ,DRI,UAL,MHK,DFS,PHM,ULTA
2020-10-30,ENPH,ON,LKQ,BLDR,DRI,PHM,MHK,DFS,HIG,URI
2020-11-30,BLDR,PHM,MHK,ON,LKQ,CZR,MOS,URI,NXPI,DHI
2020-12-31,BLDR,PHM,LKQ,ON,MHK,CZR,MOS,URI,ENPH,LEN
2021-01-29,PHM,BLDR,LEN,LKQ,MHK,URI,CZR,APTV,SWK,ON
2021-02-26,PHM,BLDR,LEN,MHK,LKQ,CZR,URI,APTV,MOS,DECK
2021-03-31,BLDR,PHM,LEN,DHI,CZR,URI,BWA,GNRC,MHK,DECK
2021-04-30,BLDR,LEN,ENPH,PHM,DHI,MHK,GNRC,STLD,BWA,DECK
2021-05-31,BLDR,PHM,LEN,STLD,DHI,NUE,URI,LKQ,APTV,DECK
2021-06-30,BLDR,STLD,PHM,LEN,NUE,BWA,MHK,DHI,URI,IVZ
2021-07-30,BLDR,STLD,PHM,LEN,NUE,BWA,DHI,MHK,IVZ,TPL
2021-08-31,PHM,BWA,LEN,STLD,BLDR,DHI,NUE,MHK,STX,MOS
2021-09-30,PHM,LEN,DHI,BWA,BLDR,STX,STLD,TPL,MHK,APTV
2021-10-29,PHM,LEN,BWA,DHI,BLDR,STX,STLD,TPL,HPE,APTV
2021-11-30,PHM,BLDR,LEN,STX,ON,DHI,BWA,ALB,IVZ,STLD
2021-12-31,STX,BLDR,LEN,ON,SMCI,DHI,PHM,RL,ALB,F
2022-01-31,BLDR,PHM,LEN,STLD,ON,DHI,RL,STX,MHK,NXPI
2022-02-28,BLDR,PHM,ON,DHI,STLD,LEN,DVN,TPR,MHK,STX
2022-03-31,BLDR,PHM,RL,DHI,CCL,STX,LEN,MHK,BWA,TPR
2022-04-29,BLDR,PHM,RL,UAL,CCL,RCL,DVN,LEN,NCLH,DHI
2022-05-31,BLDR,RL,CCL,UAL,TPR,NCLH,SMCI,DVN,APA,PHM
2022-06-30,BLDR,PHM,DHI,LEN,RL,TPR,F,SMCI,ON,BBY
2022-07-29,BLDR,TPR,PHM,RL,F,APA,SMCI,LEN,MCHP,ON
2022-08-31,BLDR,TPR,PHM,RL,APA,F,DVN,SMCI,NXPI,ON
2022-09-30,BLDR,RL,PHM,TPR,F,APA,HCA,NXPI,APTV,DVN
2022-10-31,BLDR,PHM,RL,HCA,UAL,F,APTV,NXPI,TPR,TPL
2022-11-30,BLDR,APTV,PHM,HCA,F,DVN,URI,PWR,TRGP,BWA
2022-12-30,BLDR,PHM,APTV,HCA,F,DVN,DHI,LEN,URI,HPQ
2023-01-31,BLDR,APTV,UHS,DELL,RL,DVN,PWR,F,RCL,PHM
2023-02-28,BLDR,TPL,APTV,HPQ,INTC,APA,LEN,MHK,RL,F
2023-03-31,BLDR,TPL,UAL,STLD,EMN,DVN,MHK,TRGP,CAT,URI
2023-04-28,BLDR,TPL,STLD,MHK,PWR,NUE,EMN,CAT,URI,APTV
2023-05-31,TPL,BLDR,STLD,MHK,EMN,SWK,GNRC,FSLR,PWR,CAT
2023-06-30,TPL,STLD,APA,CAT,SWK,DELL,DE,HAL,BLDR,NUE
2023-07-31,NUE,STLD,TPL,SWK,APA,BLDR,CAT,GNRC,URI,DELL
2023-08-31,STLD,NUE,URI,SWK,MAS,HAL,CAT,RJF,GNRC,ODFL
2023-09-29,STLD,NUE,URI,SWK,GNRC,MAS,CAT,BLDR,RJF,JBL
2023-10-31,NUE,STLD,URI,JBL,BLDR,TPL,ON,GNRC,SWK,PH
2023-11-30,SMCI,JBL,NUE,STLD,BLDR,URI,KLAC,HAL,CAT,SLB
2023-12-29,STLD,SMCI,NUE,JBL,BLDR,KLAC,URI,LRCX,MGM,TER
2024-01-31,URI,STLD,BLDR,JBL,NUE,CZR,LRCX,TER,ENPH,CAT
2024-02-29,URI,JBL,STLD,BLDR,CAT,TER,LRCX,APA,NUE,CARR
2024-03-29,URI,BLDR,STLD,SMCI,JBL,CAT,APA,ENPH,CARR,PHM
2024-04-30,URI,BLDR,TER,CAT,TPR,PHM,AVGO,PARA,STLD,DHI
2024-05-31,BLDR,SMCI,URI,LULU,JBL,PHM,CAT,DHI,CHTR,BBY
2024-06-28,BLDR,URI,JBL,BBY,AVGO,PHM,DHI,CHTR,HUBB,MAS
2024-07-31,BLDR,URI,AVGO,VST,CZR,JBL,PHM,CEG,BBY,DHI
2024-08-30,BLDR,AVGO,URI,JBL,VST,TER,CZR,CEG,LRCX,PHM
2024-09-30,AVGO,BLDR,VST,NVDA,URI,LRCX,KMX,AMAT,CEG,KLAC
2024-10-31,AVGO,BLDR,URI,NVDA,VST,KMX,CEG,LRCX,QCOM,KLAC
2024-11-29,AVGO,NVDA,VST,MU,POOL,JBL,URI,CEG,CZR,MPWR
2024-12-31,NVDA,CZR,VST,URI,CEG,STLD,KMX,UAL,IP,POOL
